0,29795088,29000000
0,64022896,29750000
0,66317276,30656250
0,68611655,31699218
0,70906017,32861815
0,73200401,34254088
0,98206512,38597327
0,100500892,38272661
0,102795254,37988578
0,105089635,37865005
0,107384017,38006879
0,109678394,38131019
0,111972760,38114641
0,132389154,40725310
0,134683514,40134646
0,136977899,39617815
0,139272279,39540588
0,141566658,39473014
0,143861019,39288887
0,146155404,39502776
0,148449782,39689929
0,150744145,39853687
0,153038527,40371976
0,155332907,40825479
0,167717993,40097294
0,170012379,39835132
0,172306759,39605740
0,174601136,39405022
0,176895501,39479394
0,179189883,39544469
0,181484263,39601410
0,183778624,39901233
0,186073006,40288578
0,188367389,40502505
0,190661765,40939691
0,192956131,41322229
0,195250513,41781950
0,197544890,42434206
0,199839252,42879930
0,202133638,43394938
0,204428014,44095570
0,206722376,43458623
0,209016760,42901295
0,211311141,42663633
0,213605519,42455678
0,215899883,42273718
0,218194267,42489503
0,220488644,42678315
0,222783006,42718525
0,225077389,43128709
0,227371769,43487620
0,229666148,43801667
0,231960514,44326458
0,234254893,44785650
0,236549274,45187443
0,238843634,45789012
0,241138019,46440385
0,243432399,47010336
0,245726756,47759044
0,248021143,48414163
0,250315523,48987392
0,252609901,49738968
0,254904265,50396597
0,257198648,50972022
0,259493027,51725519
0,261787388,52384829
0,264081771,53086725
0,266376152,53950884
0,268670530,54582023
0,270964897,55134270
0,273259277,55992486
0,275553655,56743425
0,277848018,57400496
0,280142401,58350434
0,282436781,59056629
0,284731141,59674550
0,287025526,60590231
0,289319906,61391452
0,291614284,61967520
0,293908649,62721580
0,296203030,63506382
0,298497410,64193084
0,300791772,65043948
0,303086153,65913454
0,305380535,66549272
0,307674913,67355613
0,309969280,68061161
0,312263660,68803515
0,314558038,69703075
0,316852400,70365190
0,319146785,71069541
0,321441164,71935848
0,323735523,72693867
0,326029908,73357133
0,328324289,74187491
0,330618666,74914054
0,332913032,75549797
0,335207415,76481072
0,337501793,77295938
0,339796155,77883945
0,342090537,78773451
0,344384918,79551769
0,346679278,80232797
0,348973664,81078697
0,351268043,81818859
0,353562423,82466501
0,355856785,83283188
0,358151168,84122789
0,360445548,84857440
0,362739910,85750260
0,365034292,86531477
